beta	i	thpar	thperp	rpar	rperp	
1.000e-02	1.032e+00	2.187e+00	2.517e+00	1.927e+00	5.011e+00	
1.000e-02	1.037e+00	2.205e+00	2.527e+00	1.952e+00	5.156e+00	
1.000e-02	1.043e+00	2.224e+00	2.537e+00	1.978e+00	5.315e+00	
1.000e-02	1.049e+00	2.244e+00	2.547e+00	2.005e+00	5.492e+00	
1.000e-02	1.054e+00	2.263e+00	2.557e+00	2.034e+00	5.688e+00	
1.000e-02	1.060e+00	2.284e+00	2.568e+00	2.065e+00	5.908e+00	
1.000e-02	1.065e+00	2.304e+00	2.578e+00	2.098e+00	6.158e+00	
1.000e-02	1.071e+00	2.326e+00	2.589e+00	2.133e+00	6.445e+00	
1.000e-02	1.076e+00	2.348e+00	2.599e+00	2.170e+00	6.778e+00	
1.000e-02	1.082e+00	2.371e+00	2.610e+00	2.211e+00	7.172e+00	
1.000e-02	1.087e+00	2.396e+00	2.620e+00	2.256e+00	7.648e+00	
1.000e-02	1.093e+00	2.421e+00	2.631e+00	2.305e+00	8.238e+00	
1.000e-02	1.098e+00	2.448e+00	2.642e+00	2.359e+00	8.997e+00	
1.000e-02	1.104e+00	2.478e+00	2.653e+00	2.422e+00	1.002e+01	
