Seq	Name	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Ref	Alias	8um	Unc	R0	PA	Hmag	4.5mag	Ak	Env	R0_fit	R0_sigma	pa_circ	delta_pa	Rc	Rc_sigma	R90p	R90p_sigma	R90n	R90n_sigma	th_p	th_m	th_p_841	th_m_841	th_p_210	th_m_210	th_g	dth_g	H_g	H_d	H_d_out	H_d_in	R0_g	Peak24	Contrast	Rating	Comment
237	G044.5388-00.2303	19	13	40.02	+	10	12	29.9	T		Y		4.5	225	11.24	9.78	1.33	I	5.678009421581083	2.0277855423922135	238.7115098695043	13.711509869504312	11.752079808825574	1.2401692280528915	7.979493092367622	2.0796401213371776	8.300184450457595	2.2575995516195118	132.11234583673212	nan	59.93368844291035	-68.80482873214666	nan	nan	0.0	141.0	14.365518609174458	18.475454043412856	1.4118434758145195	17.06361056759834	5.261616323776661	10.446426089535272	0.04128744151617357	3	
238	G045.1952+00.7420	19	11	23.1	+	11	14	25.5	T		Y		16.0	210	12.65	10.39	2.06	I	8.579010647151659	0.08757445782961693	217.92274460343023	7.922744603430232	61.887405928618	0.5932537981137126	11.373107145101335	1.8450657022619228	28.70031250902385	2.5875637027759817	116.96017477424772	-123.78816000053038	91.20662171207653	-109.23312681049562	165.14427768150733	-123.78816000053038	-19.866748494516386	465.20250594257334	17.733486857392474	22.172369933405545	-1.2198504330372977	23.392220366442842	7.826286833840747	7.582593993306563	0.04077284324027283	3	
239	G045.2527-00.4751	19	15	54.01	+	10	43	35.7	T		N	C	5.4	115	13.52	12.89	0.57	I																										2	too small
240	G045.9397+03.2506	19	3	40.72	+	13	3	11.5	T	HD230561	-		12.8	238	9.29	9.16	0.11	I	13.494250953239558	0.6678710313281538	242.90724692542625	4.90724692542625	27.238057155455458	0.9534718637102478	nan	nan	nan	nan	74.39703283928623	-59.56401884040463	45.363832977775644	-42.26702610624855	149.7575807637208	-77.88082549490969	11.13596417885126	131.96038096679933	27.85526990114576	32.36016674527835	1.2949259154549821	31.065240829823363	10.255948908584944	0.5275998915710322	0.003904992629353057	3	
241	G045.9646-00.3816	19	16	54.99	+	11	23	59.9	T		N		3.1	310	13.9	11.88	1.84	I																										0	
242	G046.0291-00.0961	19	16	0.5	+	11	35	24.4	T		N		5.3	210	13.35	11.55	1.64	I																										0	
243	G046.0408-00.0858	19	15	59.6	+	11	36	19.0	T		N		5.9	170	12.92	10.89	1.85	I	7.4972083578541415	0.5855544213372421	175.05420386200583	5.054203862005835	14.1974434924446	0.8000411238543922	12.128003015499988	1.4087425903853694	14.149338970012089	1.7106308435808837	nan	nan	79.11019414109512	-80.31264784973524	nan	nan	0.0	141.0	16.21308061256846	38.87141179217974	7.239737425443728	31.631674366736014	7.642572630047639	2.684996176228063	0.014430753299049663	3	
244	G046.0837+00.4263	19	14	13.36	+	11	52	53.2	T		Y		7.2	65	13.24	12.73	0.46	FH	15.618232392531157	4.758277761410919	32.732363054274515	-32.267636945725485	10.998535651089288	1.8099096129064414	13.664383262886794	0.9406485704803637	20.76131854725848	0.31178378125640566	108.33529896135946	-103.2941065521565	50.01125289367657	-64.89088277874048	nan	nan	0.0	141.0	68.68594762305648	26.50186075428354	-11.48245497958795	37.98431573387149	23.680142017363536	1.0799915907966624	0.006242072170891153	0	
245	G046.3270-00.7938	19	19	5.71	+	11	31	39.7	T		N		9.2	10	10.78	10.1	0.61	I	8.733106668715704	0.7874421353765153	10.886985043762444	0.8869850437624436	34.322013071553826	0.7845782407950425	11.842098592895358	1.0266884273089671	16.72900541040328	1.7526118051706503	121.05622319587363	-143.54225386593464	51.02648993051489	-70.58043505439116	168.61669643499246	-169.0231580035374	-9.705397179809845	147.60158650373063	27.850913107367703	28.909994281822755	7.174236758053201	21.735757523769557	10.002043798019804	5.242857685746228	0.0320331112420689	3	
246	G046.4224-00.6803	19	18	52.08	+	11	39	54.4	T		N	C	9.6	55	13.24	12.03	1.1	I	28.283299950902705	0.2550301557642093	42.89471952121758	-12.105280478782419	19.119455686651712	1.35888466697515	21.426216676966106	1.5697915809904044	20.88333880065323	2.2826222331159367	18.045471214842152	-26.847223826530445	6.045688694973457	-14.0579606283872	39.65311466922897	-46.37260217504968	-3.7229844059269115	44.798617547273615	20.29411544543187	9.247582233855166	-19.83799076724233	29.085573001097497	37.504405676676484	11.24777338280058	0.06620170348443152	1	STARS
